,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-318000.0,554.121325,43.5470911,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-318000.0,554.121325,38.4491749,298.0,100000.0,0.649046641,5.48458372e-33,7.53696e-33,0.195431437,3.81371609e-56,5.04560696e-41,2.96336146e-44,2.08149212e-37,0.0,0.0,9.96618844e-72,9.10702789e-77,9.37807944e-37,0.155521922,3.27408719e-33,2.89475406e-62,8.38385763e-77,5.74519676e-36,1.9894076e-36,9.07233042e-89,5.37066046e-35,1.81793916e-77,1.27613291e-34,9.13992641e-46,1.81247052e-34,1.33709608e-37,5.29622577e-60,0.0,1.80878389e-34,3.66810702e-39,5.48735295e-40,1.5980241e-36
2,0.0092,-318000.0,554.121325,33.3512587,298.0,100000.0,0.649046641,4.28814327e-29,5.89280171e-29,0.195431437,5.36819183e-52,3.95717972e-37,2.32418958e-40,1.62742277e-33,0.0,5.35919107e-97,6.18583518e-65,5.81963587e-72,7.00032144e-33,0.155521922,2.5598579e-29,6.29677162e-57,1.89144691e-69,4.4919046e-32,1.48254688e-32,5.12449898e-81,4.19907192e-31,4.64612419e-70,9.97749519e-31,1.36819874e-41,1.41708718e-30,1.04541381e-33,1.34464533e-54,0.0,1.41420478e-30,2.86792385e-35,4.29030837e-36,1.24942141e-32
3,0.0138,-318000.0,554.121325,28.2533425,298.0,100000.0,0.649046641,2.90791393e-25,3.99607921e-25,0.195431437,6.99966517e-48,2.69308818e-33,1.58215513e-36,1.10360243e-29,5.7642363e-95,5.14617138e-88,3.83627319e-58,1.67887564e-64,4.74705657e-29,0.155521922,1.73591365e-25,1.58391519e-51,4.0291666e-62,3.04609038e-28,1.00534312e-28,2.21349337e-73,2.84751207e-27,1.09590018e-62,6.76602796e-27,1.90626155e-37,9.60967785e-27,7.0892533e-30,3.3999499e-49,0.0,9.59013146e-27,1.94482209e-31,2.90938211e-32,8.4726878e-29
4,0.0184,-318000.0,554.121325,23.1554264,298.0,100000.0,0.649046641,1.67057519e-21,2.29571815e-21,0.195431437,8.40156468e-44,1.55369976e-29,9.14863185e-33,6.34011489e-26,7.4768373e-87,4.94161356e-79,2.36393709e-51,5.23355308e-57,2.72714788e-25,0.155521922,9.9726964e-22,3.98797853e-46,7.64656175e-55,1.74995655e-24,5.77560693e-25,6.99789574e-66,1.63587477e-23,2.22076081e-55,3.88703335e-23,2.45837099e-33,5.52068933e-23,4.07272394e-26,8.5615728e-44,0.0,5.50946007e-23,1.117286e-27,1.67141863e-28,4.86749689e-25
5,0.022999999,-318000.0,554.121325,18.0575113,298.0,100000.0,0.649046641,7.86601984e-18,1.08095491e-17,0.195431437,9.2143047e-40,7.35343726e-26,4.4335507e-29,2.98528733e-22,9.69818508e-79,4.74518002e-70,1.41026615e-44,1.17662354e-49,1.2840959e-21,0.155521922,4.69571368e-18,1.0001957e-40,1.20480268e-47,8.23979249e-21,2.71946633e-21,1.5726851e-58,7.70263048e-20,3.54724855e-48,1.83023678e-19,2.91561688e-29,2.59945509e-19,1.91767048e-22,2.14705504e-38,0.0,2.59416771e-19,5.26081911e-24,7.86999111e-25,2.29189487e-21
6,0.0275996571,-318000.0,554.121325,12.959974,298.0,100000.0,0.649046641,2.88826068e-14,3.96907156e-14,0.195431437,9.48558163e-36,2.71790676e-22,2.14317269e-25,1.09614369e-18,1.25779891e-70,4.55604099e-61,7.48559898e-38,2.13792688e-42,4.71496525e-18,0.155521922,1.72418141e-14,2.50916719e-35,1.51952901e-40,3.02550326e-17,9.98518743e-18,3.07757636e-51,2.82826705e-16,4.13025539e-41,6.72029949e-16,3.15540445e-25,9.54473047e-16,7.04134031e-19,5.36130198e-33,0.0,9.52531618e-16,1.93167794e-20,2.88971881e-21,8.41542481e-18
7,0.032167592,-318000.0,554.121326,7.89759375,298.000002,100000.0,0.649046641,7.5343098e-11,1.03537104e-10,0.195431437,1.22266583e-30,7.15524512e-19,2.94277648e-21,2.85939777e-15,1.61438286e-62,4.32907392e-52,2.89740574e-31,7.78458268e-35,1.22994325e-14,0.155521921,4.49769544e-11,6.90597299e-30,1.72985299e-33,7.89232045e-14,2.60453437e-14,1.14005176e-43,7.37781056e-13,3.67429069e-34,1.75305569e-12,3.05605313e-21,2.48983607e-12,1.83680232e-15,1.31679448e-27,0.0,2.48477166e-12,5.03897041e-17,7.53811324e-18,2.19524567e-14
8,0.0362008288,-318000.0,554.122963,3.42783282,298.002172,100000.0,0.649046721,9.99581648e-08,1.37363331e-07,0.195431233,1.7113879e-24,9.63536836e-16,9.45145835e-17,3.79358108e-12,1.71645844e-54,3.40521014e-43,5.00987889e-25,3.13671377e-27,1.63176284e-11,0.155521738,5.967121e-08,3.53302058e-24,1.83632839e-26,1.04707915e-10,3.45399982e-11,4.03791858e-36,9.78818795e-10,3.10611329e-27,2.32579006e-09,2.19687826e-17,3.30328127e-09,2.43689726e-12,2.52369544e-22,0.0,3.29656229e-09,6.68523405e-14,1.00008621e-14,2.91244632e-11
9,0.0382864654,-318000.0,554.518896,1.12075237,298.523071,100000.0,0.649065819,2.40736759e-05,3.30822419e-05,0.195382222,4.34453975e-19,2.39154098e-13,1.05450781e-12,9.13614472e-10,6.70887474e-47,9.37060675e-35,1.87379471e-19,8.34862698e-21,3.92925213e-09,0.15547762,1.43710659e-05,2.62500246e-18,3.41567712e-20,2.52175936e-08,8.28451619e-09,1.09040213e-29,2.35736285e-07,5.72219697e-21,5.6013745e-07,5.22141431e-14,7.95553773e-07,5.86896279e-10,8.92150653e-18,0.0,7.93935866e-07,1.61011194e-11,2.40857102e-12,7.01426332e-09
10,0.0387856807,-318000.0,559.321741,0.59217024,306.507818,100000.0,0.649359005,0.000392106179,0.000538834017,0.194629841,1.23534696e-15,4.33257195e-12,2.02062459e-10,1.47542944e-08,2.61474841e-40,1.87140122e-28,5.34213321e-16,2.75573837e-17,6.54587705e-08,0.154800354,0.000234072425,7.83495351e-15,1.03966372e-16,4.10737009e-07,1.30371173e-07,6.87900517e-26,3.83961531e-06,2.07951722e-17,9.12337179e-06,9.56596361e-12,1.29561944e-05,9.5592239e-09,4.59782681e-15,0.0,1.29314344e-05,2.65520215e-10,3.91640438e-11,1.14246741e-07
11,0.0388960344,-318000.0,565.846154,0.49574599,321.299869,100000.0,0.649904394,0.00107672659,0.00147962584,0.193230296,2.31942447e-14,1.48532162e-11,1.12966608e-09,3.91009551e-08,1.27478851e-36,5.14066229e-26,9.21129567e-15,5.00445681e-16,2.01505978e-07,0.153540505,0.000642764557,1.19729152e-13,1.55001993e-15,1.12773661e-06,3.38385098e-07,3.56645525e-24,1.05436163e-05,4.22365531e-16,2.50527438e-05,8.15398744e-11,3.5556511e-05,2.624971e-08,9.16538614e-14,0.0,3.55098291e-05,7.70505929e-10,1.06740444e-10,3.13740594e-07
12,0.0389547648,-318000.0,574.174012,0.458822628,341.166182,100000.0,0.650641724,0.00200228819,0.00275149836,0.191338251,1.35369808e-13,3.14765438e-11,2.71392913e-09,7.09417791e-08,1.93029192e-34,1.39428232e-24,4.53065492e-14,2.60563347e-15,4.12337912e-07,0.151837285,0.00119528912,5.36708278e-13,6.73059922e-15,2.09673073e-06,6.02215888e-07,6.97090502e-23,1.96069897e-05,2.67366108e-15,4.65880568e-05,2.43265719e-10,6.60851071e-05,4.88141623e-08,6.91846162e-13,0.0,6.60343524e-05,1.49376718e-09,1.97370389e-10,5.83477295e-07
13,0.0389980882,-318000.0,584.688158,0.442007443,366.451982,100000.0,0.651588771,0.00319110254,0.00438510237,0.188908115,5.31199395e-13,5.53321156e-11,4.75276622e-09,1.10738162e-07,8.41219774e-33,1.62150403e-23,1.38687219e-13,8.47188184e-15,7.2554637e-07,0.149649643,0.00190496509,1.5197178e-12,1.8406187e-14,3.34067766e-06,9.27724144e-07,1.02111584e-21,3.12482239e-05,1.11910867e-14,7.42483231e-05,5.22970221e-10,0.000105257224,7.77965394e-08,3.68345511e-12,0.0,0.000105240857,2.47583678e-09,3.128976e-10,9.29988001e-07
14,0.0390342292,-318000.0,597.398026,0.435484234,397.001139,100000.0,0.652746521,0.00464440842,0.00638212702,0.185937378,1.74434121e-12,8.74365338e-11,7.03801306e-09,1.58212069e-07,2.00665274e-31,1.23153413e-22,3.27958384e-13,2.12422437e-14,1.17690195e-06,0.146975308,0.0027725318,3.3794387e-12,3.94736382e-14,4.86024334e-06,1.31708948e-06,1.2480037e-20,4.54794599e-05,3.758861e-14,0.000108062166,9.62601772e-10,0.000153080739,1.13227077e-07,1.70889115e-11,0.0,0.000153170247,3.74845859e-09,4.53020776e-10,1.35366737e-06
15,0.0390662353,-318000.0,612.110279,0.434779533,432.279547,100000.0,0.654102796,0.00634691705,0.00872154671,0.18245732,5.30189328e-12,1.2931558e-10,9.46151986e-09,2.12611364e-07,3.54500419e-30,7.44662934e-22,6.62541301e-13,4.52101594e-14,1.81151633e-06,0.143842428,0.00378886234,6.5718283e-12,7.37957142e-14,6.63848867e-06,1.77088696e-06,1.27423307e-19,6.21509985e-05,1.09944421e-13,0.000147673548,1.64329855e-09,0.000209005614,1.54733108e-07,7.27482013e-11,0.0,0.000209318391,5.3313524e-09,6.1582903e-10,1.8500903e-06
16,0.0390956076,-318000.0,628.556159,0.437197331,471.644012,100000.0,0.655641135,0.00827796262,0.0113749436,0.178510218,1.57316046e-11,1.85038023e-10,1.20558838e-08,2.73096895e-07,5.49802368e-29,4.01932967e-21,1.21602605e-12,8.65880363e-14,2.6882182e-06,0.140289047,0.0049416199,1.19986142e-11,1.28783105e-13,8.65225097e-06,2.29039426e-06,1.07920391e-18,8.10604897e-05,2.94727312e-13,0.000192601155,2.73961544e-09,0.000272289669,2.01810928e-07,2.7717776e-10,0.0,0.000273003879,7.23321414e-09,7.9892038e-10,2.41325855e-06
17,0.0391232109,-318000.0,646.451591,0.440937672,514.47975,100000.0,0.657344994,0.0104167779,0.0143137566,0.174138558,4.69092852e-11,2.65487431e-10,1.49646528e-08,3.38892293e-07,8.27891693e-28,2.07766491e-20,2.11263468e-12,1.55229136e-13,3.88479138e-06,0.136353397,0.00621840694,2.15874479e-11,2.21924592e-13,1.08769914e-05,2.87786398e-06,7.60579449e-18,0.000102004594,7.5502012e-13,0.000242361043,4.61825352e-09,0.000342168595,2.5395449e-07,9.18908268e-10,0.0,0.000343542056,9.44293804e-09,9.99898271e-10,3.03713974e-06
18,0.0391495841,-318000.0,665.516561,0.444748348,560.240372,100000.0,0.659198584,0.0127435404,0.017510718,0.169382909,1.42515458e-10,3.97827943e-10,1.84034437e-08,4.09291616e-07,1.27903604e-26,1.07236125e-19,3.57249969e-12,2.67645925e-13,5.50423334e-06,0.132071979,0.00760738951,3.92711247e-11,4.01964484e-13,1.32867644e-05,3.53542883e-06,4.51271692e-17,0.000124789235,1.92329344e-12,0.000296490787,8.02035517e-09,0.000417884632,3.10681134e-07,2.62579854e-09,0.0,0.000420279603,1.19054093e-08,1.21640958e-09,3.71597542e-06
19,0.0391750907,-318000.0,685.490502,0.447741069,608.474903,100000.0,0.66118761,0.0152403048,0.0209411332,0.164280011,4.31761075e-10,6.4735433e-10,2.26446605e-08,4.83665129e-07,1.97599129e-25,5.51474399e-19,5.99665234e-12,4.52348417e-13,7.68411885e-06,0.127477841,0.00909785332,7.26875601e-11,8.21270562e-13,1.5853726e-05,4.26287764e-06,2.29153546e-16,0.000149238744,5.02073265e-12,0.000354570837,1.43828685e-08,0.000498708592,3.71554964e-07,6.47765876e-09,0.0,0.000502625384,1.4477969e-08,1.44606894e-09,4.44455733e-06
20,0.0391999914,-318000.0,706.1371,0.449275551,658.828176,100000.0,0.663299336,0.0178910801,0.0245829843,0.158862637,1.22648373e-09,1.16481091e-09,2.80304171e-08,5.6143783e-07,2.73142084e-24,2.69230089e-18,1.01307633e-11,7.58984927e-13,1.06099995e-05,0.122600442,0.0106802493,1.36638332e-10,1.93591142e-12,1.8546859e-05,5.05304151e-06,1.0139509e-15,0.000175196664,1.33388311e-11,0.000416225765,2.63372721e-08,0.000583929858,4.36190504e-07,1.38539357e-08,0.0,0.000590053085,1.68637009e-08,1.68609493e-09,5.2182567e-06
21,0.0392244823,-318000.0,727.242728,0.448880396,711.026685,100000.0,0.665522293,0.0206814682,0.0284164315,0.153160331,3.07560296e-09,2.26915539e-09,3.50303247e-08,6.42048632e-07,3.01973292e-23,1.18391834e-17,1.73731174e-11,1.27273515e-12,1.45342667e-05,0.117466315,0.012345977,2.60693311e-10,4.88427998e-12,2.13312144e-05,5.88691129e-06,3.98133258e-15,0.000202522312,3.43845824e-11,0.000481115,4.84040136e-08,0.000672826744,5.04247872e-07,2.58082885e-08,0.0,0.000682089297,1.85462833e-08,1.93263692e-09,6.03293158e-06
22,0.0392487254,-318000.0,748.620802,0.446197542,764.881601,100000.0,0.667846862,0.0235993905,0.0324248064,0.147197935,6.63036711e-09,4.54153139e-09,4.4390353e-08,7.24924441e-07,2.5466265e-22,4.58814236e-17,3.04004671e-11,2.14077752e-12,1.98037075e-05,0.112097735,0.0140878169,5.04019989e-10,1.19451313e-11,2.41701392e-05,6.73622461e-06,1.41457358e-14,0.000231098052,8.22951482e-11,0.000548948153,8.80317398e-08,0.000764663496,5.75457066e-07,4.21400567e-08,0.0,0.000778337134,1.88314387e-08,2.18019457e-09,6.88516195e-06
23,0.0392728757,-318000.0,770.120073,0.440936941,820.307357,100000.0,0.670266607,0.0266367608,0.0365969041,0.140992161,1.23923942e-08,8.87394489e-09,5.74294041e-08,8.09444705e-07,1.67753573e-21,1.59013231e-16,5.46296248e-11,3.64034531e-12,2.69001029e-05,0.106509645,0.0159009267,9.81126974e-10,2.70540154e-11,2.70301913e-05,7.57872598e-06,4.64813831e-14,0.000260845853,1.82000966e-10,0.000619520754,1.5739716e-07,0.00085870245,6.49666484e-07,6.07982505e-08,0.0,0.000878530533,1.71851938e-08,2.42182432e-09,7.77277523e-06
24,0.0392970669,-318000.0,791.598861,0.432845841,877.258233,100000.0,0.672775971,0.0297865974,0.0409230031,0.134557491,2.07303107e-08,1.65059649e-08,7.65387535e-08,8.94714452e-07,9.28237184e-21,5.1323008e-16,1.01688511e-10,6.35348498e-12,3.64873794e-05,0.100714988,0.0177811127,1.91046237e-09,5.71094238e-11,2.98817013e-05,8.41673451e-06,1.44366091e-13,0.000291699151,3.8336148e-10,0.000692641518,2.76123371e-07,0.000954053298,7.26779206e-07,7.81381207e-08,0.0,0.000982437666,1.38620096e-08,2.65022603e-09,8.69405267e-06
25,0.0393213897,-318000.0,812.895633,0.421704518,935.648619,100000.0,0.675366994,0.0330388934,0.0453891762,0.127914629,3.2370858e-08,2.9272124e-08,1.06058356e-07,9.79213354e-07,4.73118154e-20,1.62153397e-15,1.97572086e-10,1.15752695e-11,4.94674303e-05,0.0947323256,0.0197223584,3.7192083e-09,1.15805661e-10,3.26962457e-05,9.28389218e-06,4.31802383e-13,0.000323562614,8.01172718e-10,0.00076802879,4.74112748e-07,0.00104947034,8.06658689e-07,9.02058224e-08,0.0,0.00108972349,1.00920273e-08,2.85948063e-09,9.64658881e-06
26,0.039345916,-318000.0,833.844626,0.40732077,995.38709,100000.0,0.678030956,0.0363826815,0.049980096,0.121086333,4.90952913e-08,5.03078616e-08,1.53949582e-07,1.06048222e-06,2.41719129e-19,5.24363627e-15,4.02552921e-10,2.2282897e-11,6.70760409e-05,0.0885820622,0.021718045,7.26151322e-09,2.32775804e-10,3.54465055e-05,1.02349518e-05,1.26182708e-12,0.000356332853,1.71104457e-09,0.000845348941,7.93080169e-07,0.00114331771,8.89191928e-07,9.49344522e-08,0.0,0.00120001692,7.103952e-09,3.04614918e-09,1.06279991e-05
