,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-128000.0,351.557436,27.7117853,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-128000.0,351.557436,24.4774568,298.0,100000.0,0.649046641,7.62393215e-31,1.02138098e-30,0.195431437,4.82811852e-55,2.58665403e-39,1.51918504e-42,2.86031245e-35,0.0,0.0,1.17654364e-69,-8.8111149e-76,7.30761968e-35,0.155521922,4.45780831e-31,8.33717106e-61,6.19831003e-74,6.95047578e-34,2.1191304e-34,8.44512836e-85,1.1783447e-32,3.58712531e-74,1.93884919e-32,1.13772727e-44,2.22980463e-32,2.62807772e-35,7.38019945e-59,0.0,2.76880451e-32,3.98748745e-37,1.01665578e-37,1.26724056e-34
2,0.0092,-128000.0,351.557436,21.2431284,298.0,100000.0,0.649046641,3.79531053e-27,5.08459141e-27,0.195431437,5.4246942e-51,1.29395723e-35,7.59971089e-39,1.42390747e-31,0.0,7.12660813e-95,7.24843535e-63,5.87859869e-69,3.6345245e-31,0.155521922,2.21916545e-27,8.87409671e-56,1.05335058e-66,3.46005361e-30,1.05420677e-30,2.03941741e-77,5.86598094e-29,6.46216143e-67,9.65188908e-29,1.37995925e-40,1.110031e-28,1.30829746e-31,1.85277751e-53,0.0,1.37835342e-28,1.98503251e-33,5.06106862e-34,6.30851816e-31
3,0.0138,-128000.0,351.557436,18.0088,298.0,100000.0,0.649046641,1.63948379e-23,2.19642243e-23,0.195431437,5.73808923e-47,5.6210135e-32,3.30176844e-35,6.15094127e-28,4.42427523e-93,6.84331875e-86,4.36525147e-56,1.07268871e-61,1.57002684e-27,0.155521922,9.58626639e-24,2.16196524e-50,1.48163888e-59,1.49466078e-26,4.55391971e-27,3.73047498e-70,2.5339641e-25,9.44606421e-60,4.16938628e-25,1.58297974e-36,4.79506962e-25,5.65153353e-28,4.63916102e-48,0.0,5.95415859e-25,8.57486784e-30,2.18626112e-30,2.72512964e-27
4,0.0184,-128000.0,351.557436,14.7744716,298.0,100000.0,0.649046641,6.00421241e-20,8.04386534e-20,0.195431437,5.6923261e-43,2.07221216e-28,1.21922687e-31,2.25263331e-24,5.73867087e-85,6.57128585e-77,2.45967408e-49,1.43369178e-54,5.74984059e-24,0.155521922,3.51073796e-20,5.39673174e-45,1.62794011e-52,5.47383321e-23,1.66776157e-23,4.94702509e-63,9.28002998e-22,1.05486103e-52,1.52693677e-21,1.71178987e-32,1.75607815e-21,2.06973732e-24,1.1585467e-42,0.0,2.18056642e-21,3.14033774e-26,8.00665193e-27,9.98012751e-24
5,0.0229999998,-128000.0,351.557436,11.5401433,298.0,100000.0,0.649046641,1.80412236e-16,2.41698932e-16,0.195431437,5.27583305e-39,6.27683268e-25,3.78909375e-28,6.76862482e-21,7.44351847e-77,6.31006102e-68,1.19008129e-42,1.33458451e-47,1.72768875e-20,0.155521922,1.05489287e-16,1.34585729e-39,1.33106561e-45,1.64475608e-19,5.01121248e-20,4.61827716e-56,2.78842726e-18,8.40039925e-46,4.58808013e-18,1.7385342e-28,5.27659521e-18,6.21906607e-21,2.88559818e-37,0.0,6.55208103e-18,9.43596453e-23,2.40580754e-23,2.99878983e-20
6,0.0275998993,-128000.0,351.557436,8.30588557,298.0,100000.0,0.649046641,4.23463552e-13,5.67315671e-13,0.195431437,5.58539932e-35,1.48854334e-21,1.34955939e-24,1.58873144e-17,9.65447819e-69,6.05900392e-59,4.32515849e-36,1.14568437e-40,4.05522769e-17,0.155521922,2.47604426e-13,3.4287829e-34,8.57020447e-39,3.86057104e-16,1.17622006e-16,4.2842872e-49,6.54499573e-15,4.52625472e-39,1.07691405e-14,1.6513377e-24,1.23852229e-14,1.45973903e-17,7.16389777e-32,0.0,1.53790429e-14,2.21480936e-19,5.64691074e-20,7.03875871e-17
7,0.0321823497,-128000.0,351.557443,5.08389693,298.000015,100000.0,0.649046642,7.11501791e-10,9.53201553e-10,0.195431436,2.33133649e-29,2.53699458e-18,2.30653693e-20,2.6693803e-14,1.24508018e-60,5.78462613e-50,9.7493292e-30,3.31319133e-33,6.81356897e-14,0.15552192,4.1602398e-10,1.085586e-28,6.92482672e-32,6.48651624e-13,1.97618103e-13,1.24749763e-41,1.0996876e-11,2.07813931e-32,1.80942674e-11,1.45164313e-20,2.08096027e-11,2.45264775e-14,1.7416097e-26,0.0,2.58398072e-11,3.72131398e-16,9.48791692e-17,1.18264946e-13
8,0.0363018779,-128000.0,351.563803,2.18756922,298.013314,100000.0,0.64904709,6.26255463e-07,8.38996735e-07,0.195430165,2.5993783e-23,2.28523644e-15,8.09684352e-16,2.34955677e-11,1.36794865e-52,4.69873382e-41,9.61903827e-24,9.81814286e-26,5.99714461e-11,0.155520837,3.66179388e-07,7.92978379e-23,7.12078034e-25,5.70935489e-10,1.73874305e-10,3.36149413e-34,9.67932024e-09,1.51460552e-25,1.59263601e-08,1.00677345e-16,1.83163662e-08,2.15879155e-11,3.08056875e-21,0.0,2.27438928e-08,3.27545708e-13,8.35115184e-14,1.04095407e-10
9,0.0384211055,-128000.0,352.548176,0.708418514,300.076786,100000.0,0.649116665,9.77212743e-05,0.000130917537,0.195232975,9.55762668e-18,3.74415695e-13,7.12314523e-12,3.66568178e-09,5.52747485e-45,1.32274882e-32,2.81502908e-18,1.35175723e-19,9.35570281e-09,0.155352679,5.71388491e-05,5.74275365e-17,8.06267505e-19,8.90891115e-08,2.69887688e-08,5.42492957e-28,1.51036688e-06,1.76026173e-19,2.48515847e-06,2.2990753e-13,2.85809281e-06,3.36859116e-09,7.12803052e-17,0.0,3.54897053e-06,5.11244458e-11,1.3030892e-11,1.62431092e-08
