,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-23700.0,151.274413,11.8764794,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-23700.0,151.274413,10.4847548,298.0,100000.0,0.649046641,2.86232053e-27,3.90468125e-27,0.195431437,1.03748833e-53,1.79871298e-36,1.05644373e-39,1.53425173e-31,0.0,0.0,7.95785564e-65,2.62543189e-70,1.20507567e-31,0.155521922,1.77603447e-27,1.69728987e-57,5.8734949e-68,2.61862075e-30,6.64266648e-31,3.47706281e-78,7.70451143e-29,1.01610411e-67,8.44368485e-29,2.29021039e-43,7.37953992e-29,1.35522611e-31,3.39408176e-57,0.0,1.19756261e-28,7.6877197e-34,5.74014252e-34,2.50646979e-31
2,0.0092,-23700.0,151.274413,9.09303019,298.0,100000.0,0.649046641,6.10676684e-24,8.3306456e-24,0.195431437,8.70553986e-50,3.8812357e-33,2.27957906e-36,3.27332928e-28,0.0,5.9535975e-93,2.8595926e-58,1.19197765e-63,2.57102731e-28,0.155521922,3.78917326e-24,7.51181179e-54,2.55836088e-61,5.58683284e-27,1.41721355e-27,1.5920436e-71,1.64375912e-25,4.42049225e-61,1.80146193e-25,2.12633095e-39,1.57442638e-25,2.89137773e-28,8.42417128e-52,0.0,2.55500233e-25,1.64017661e-30,1.2246606e-30,5.34755855e-28
3,0.0138,-23700.0,151.274413,7.70130559,298.0,100000.0,0.649046641,1.12957111e-20,1.54092285e-20,0.195431437,7.0583083e-46,7.27342237e-30,4.27201465e-33,6.05469028e-25,8.93699977e-92,5.71670361e-84,8.17700609e-52,4.12197474e-57,4.75563774e-25,0.155521922,7.00884897e-21,9.80804967e-49,8.46723645e-55,1.03339871e-23,2.62142556e-24,5.49323052e-65,3.04046784e-22,1.45665818e-54,3.33217134e-22,1.91397527e-35,2.91222279e-22,5.34819297e-25,2.08841485e-46,0.0,4.72599804e-22,3.03384127e-27,2.2652596e-27,9.89140047e-25
4,0.0184,-23700.0,151.274413,6.30958099,298.0,100000.0,0.649046641,1.76980387e-17,2.41430682e-17,0.195431437,5.52496773e-42,1.15726446e-26,6.80145192e-30,9.48644507e-22,1.15918809e-83,5.48827495e-75,1.75782328e-45,1.02641287e-50,7.4510956e-22,0.155521922,1.0981414e-17,2.44134271e-43,2.03295641e-48,1.61912165e-20,4.10723051e-21,1.36528393e-58,4.76378309e-19,3.46837409e-48,5.22082204e-19,1.66867994e-31,4.56284967e-19,8.37951018e-22,5.16816432e-41,0.0,7.40465966e-19,4.75340066e-24,3.54919237e-24,1.54977749e-21
5,0.0229999996,-23700.0,151.274413,4.91785652,298.0,100000.0,0.649046641,2.27223188e-14,3.09970218e-14,0.195431437,4.44158834e-38,1.51391532e-23,9.09391737e-27,1.21795433e-18,1.50354028e-75,5.26609395e-66,2.64101296e-39,1.76168283e-44,9.56637505e-19,0.155521922,1.40989177e-14,6.47350937e-38,3.34482958e-42,2.07877261e-17,5.27322723e-18,2.34840691e-52,6.11616913e-16,5.58807637e-42,6.70295645e-16,1.4076138e-27,5.85819291e-16,1.07583617e-18,1.26960336e-35,0.0,9.50676174e-16,6.10283929e-21,4.55676931e-21,1.98974241e-18
6,0.0275998508,-23700.0,151.274413,3.52617693,298.0,100000.0,0.649046641,2.27438942e-11,3.10264542e-11,0.195431437,2.9008294e-33,1.55213505e-20,1.82044945e-23,1.21911081e-15,1.95008819e-67,5.0484648e-57,2.50369637e-33,3.5871611e-38,9.57545157e-16,0.155521922,1.41123049e-11,1.96179995e-32,4.06034235e-36,2.08074646e-14,5.27822512e-15,5.03032638e-46,6.12197658e-13,5.65129944e-36,6.70932107e-13,1.14751268e-23,5.86375541e-13,1.0768577e-15,2.98953535e-30,0.0,9.51578865e-13,6.10863415e-18,4.56109601e-18,1.99163172e-15
7,0.0321792883,-23700.0,151.274478,2.14067701,298.000347,100000.0,0.649046652,1.62243635e-08,2.21327301e-08,0.195431403,1.57473051e-27,1.14467944e-17,4.03883071e-19,8.69653045e-13,2.51240053e-59,4.80008211e-48,1.27687549e-27,5.64189054e-31,6.83064066e-13,0.155521894,1.00670168e-08,6.29810123e-27,1.34950627e-29,1.48430109e-11,3.76515732e-12,7.83387944e-39,4.36711376e-10,5.47561296e-30,4.78609612e-10,8.96832205e-20,4.18291161e-10,7.68176752e-13,5.82848534e-25,0.0,6.78809057e-10,4.35759602e-15,3.25365909e-15,1.42073106e-12
8,0.0362604847,-23700.0,151.300169,0.906616733,298.12731,100000.0,0.649050602,5.94490985e-06,8.10984572e-06,0.195419018,1.2129327e-21,4.4267741e-15,1.20343875e-14,3.18656391e-10,2.72122233e-51,3.70458455e-39,3.00146005e-22,6.06113076e-24,2.50277886e-10,0.155511807,3.688743e-06,6.04538743e-21,8.45543146e-23,5.43875644e-09,1.3792457e-09,8.17519152e-32,1.60019206e-07,2.08937594e-23,1.75371502e-07,5.61236999e-16,1.53269694e-07,2.81474311e-10,5.36142834e-20,0.0,2.48728319e-07,1.59671499e-12,1.1922012e-12,5.20582401e-10
9,0.038161128,-23700.0,152.645388,0.347826567,305.190921,100000.0,0.649270623,0.000336225129,0.000458666843,0.194729067,1.29177004e-16,2.85670259e-13,2.65031506e-11,1.79910482e-08,9.38598457e-44,6.03488796e-31,1.56354608e-17,7.7930726e-19,1.41918529e-08,0.154949881,0.000208623532,6.65127127e-16,1.01221944e-17,3.07598697e-07,7.76183651e-08,1.89806892e-26,9.05017561e-06,2.89200501e-18,9.91845144e-06,7.89774482e-13,8.66838754e-06,1.59192888e-08,4.34372971e-16,0.0,1.40672799e-05,9.07481692e-11,6.7417401e-11,2.94424802e-08
