,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-168000.0,402.759641,31.6706117,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-168000.0,402.759641,27.965223,298.0,100000.0,0.649046641,1.43133811e-30,1.92486882e-30,0.195431437,5.34822427e-54,4.57876712e-39,2.689214e-42,6.0408194e-35,0.0,0.0,1.22409189e-68,2.44895612e-75,1.25814601e-34,0.155521922,8.38064868e-31,9.38194243e-60,3.59213193e-73,1.34228192e-33,4.05558163e-34,2.61520008e-84,1.98398055e-32,1.67693232e-73,3.56091281e-32,1.52596008e-43,4.33095601e-32,4.56407316e-35,1.80702515e-57,0.0,5.08147887e-32,6.59154206e-37,1.81385606e-37,2.74575333e-34
2,0.0092,-168000.0,402.759641,24.2598343,298.0,100000.0,0.649046641,8.14030657e-27,1.09471146e-26,0.195431437,6.38827975e-50,2.61515511e-35,1.53608367e-38,3.435535e-31,2.9283158e-97,2.35003709e-91,7.58077825e-62,2.48125886e-68,7.15200664e-31,0.155521922,4.76624278e-27,2.12453857e-54,7.03525254e-66,7.63382619e-30,2.30576056e-30,8.15697266e-77,1.12832948e-28,3.51248771e-66,2.02516245e-28,1.95904788e-39,2.46310144e-28,2.59567983e-31,4.54929651e-52,0.0,2.88993883e-28,3.74874202e-33,1.03157627e-33,1.56156492e-30
3,0.0138,-168000.0,402.759641,20.5544456,298.0,100000.0,0.649046641,4.01564953e-23,5.40026044e-23,0.195431437,7.14910667e-46,1.29641897e-31,7.6220152e-35,1.69476474e-27,3.79831822e-89,2.25662235e-82,4.65041224e-55,5.65844518e-61,3.52811495e-27,0.155521922,2.35120882e-23,5.31914999e-49,1.20616799e-58,3.7658005e-26,1.13744042e-26,1.93297307e-69,5.56609964e-25,6.18490336e-59,9.99021666e-25,2.3674037e-35,1.21505892e-24,1.28046044e-27,1.14188624e-46,0.0,1.42561971e-24,1.84927116e-29,5.0888117e-30,7.7032694e-27
4,0.0184,-168000.0,402.759641,16.8490569,298.0,100000.0,0.649046641,1.67845168e-19,2.25718808e-19,0.195431437,7.46205075e-42,5.4502274e-28,3.23926732e-31,7.08373753e-24,4.9267697e-81,2.16691917e-73,2.75331009e-48,9.85623444e-54,1.47467254e-23,0.155521922,9.82752697e-20,1.3310643e-43,1.751929e-51,1.57402038e-22,4.75423082e-23,3.38364921e-62,2.32650515e-21,8.65036388e-52,4.17568711e-21,2.68255501e-31,5.07867453e-21,5.35203822e-24,2.85756479e-41,0.0,5.95877152e-21,7.72953983e-26,2.12700945e-26,3.21979431e-23
5,0.023,-168000.0,402.759641,13.1436682,298.0,100000.0,0.649046641,5.7512407e-16,7.73428991e-16,0.195431437,7.23134947e-38,1.88076612e-24,1.28598756e-27,2.42725364e-20,6.3904384e-73,2.08078016e-64,1.47574029e-41,1.35549613e-46,5.05298582e-20,0.155521922,3.36741734e-16,3.32263409e-38,2.22131885e-44,5.39340522e-19,1.62902814e-19,4.95196278e-55,7.97180595e-18,9.27003581e-45,1.43080566e-17,2.83759751e-27,1.7402157e-17,1.83388419e-20,7.1294838e-36,0.0,2.04178229e-17,2.64853881e-22,7.28823075e-23,1.10326751e-19
6,0.0275999958,-168000.0,402.759641,9.43828292,298.0,100000.0,0.649046641,1.53745798e-12,2.06757921e-12,0.195431437,8.33724134e-34,5.07346328e-21,1.14411542e-23,6.48868767e-17,8.2888815e-65,1.99806098e-55,6.40540998e-35,3.39865543e-39,1.35079514e-16,0.155521922,9.00199264e-13,8.37901003e-33,2.94933125e-37,1.44179913e-15,4.35466181e-16,1.41270077e-47,2.1310735e-14,8.41797126e-38,3.82492002e-14,2.78785833e-23,4.65205447e-14,4.902455e-17,1.77301535e-30,0.0,5.45822134e-14,7.08024119e-19,1.94833583e-19,2.94932436e-16
7,0.0321975203,-168000.0,402.759673,5.73489,298.000063,100000.0,0.649046644,2.94960268e-09,3.96663667e-09,0.195431431,6.03739858e-28,9.85653603e-18,3.93746469e-19,1.24485032e-13,1.07425748e-56,1.91707939e-46,1.98588945e-28,2.18267144e-31,2.5914857e-13,0.155521916,1.72702617e-09,2.65820333e-27,4.92118771e-30,2.76608185e-12,8.35296953e-13,8.32794395e-40,4.08845003e-11,1.00750065e-30,7.33808306e-11,2.52696133e-19,8.9249349e-11,9.40532662e-14,4.36515783e-25,0.0,1.04715606e-10,1.35833947e-15,3.73786898e-16,5.65825875e-13
8,0.0366090692,-168000.0,402.798721,2.18228109,298.069034,100000.0,0.649049011,3.2350817e-06,4.3505499e-06,0.195424866,1.54961366e-21,1.10353626e-14,1.61973907e-14,1.36533348e-10,1.30844245e-48,1.72840737e-37,4.38006824e-22,9.30193397e-24,2.84216275e-10,0.155516253,1.89417741e-06,5.76674218e-21,7.22277211e-23,3.03379868e-09,9.15051887e-10,3.18110595e-32,4.48415305e-08,1.46274594e-23,8.04830354e-08,1.97353413e-15,9.7887399e-08,1.03156266e-10,9.14617636e-20,0.0,1.14850567e-07,1.489808e-12,4.09964049e-13,6.20589662e-10
9,0.0387007051,-168000.0,408.489581,0.547401052,308.197713,100000.0,0.649397366,0.00047875454,0.000643830646,0.19445906,8.78179628e-16,1.73084694e-12,1.24934539e-10,2.01889996e-08,5.38005981e-41,5.18048049e-29,2.13261041e-16,1.10154724e-17,4.20425562e-08,0.15468307,0.00028031627,5.11374743e-15,6.96147398e-17,4.4896696e-07,1.33088183e-07,8.49513138e-26,6.63602602e-06,1.73488538e-17,1.19105507e-05,4.52553014e-12,1.44861109e-05,1.526593e-08,2.98588561e-15,0.0,1.69965507e-05,2.2081272e-10,6.06627623e-11,9.18400684e-08
