,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-42000.0,201.37982,15.8353059,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-42000.0,201.37982,13.9826115,298.0,100000.0,0.649046641,5.25630912e-29,7.07818371e-29,0.195431437,4.41583671e-55,7.24430242e-38,4.25474765e-41,2.25381146e-33,0.0,0.0,1.09297435e-67,-3.73704922e-71,3.24903888e-33,0.155521922,3.15859047e-29,3.12450457e-59,4.76855301e-71,4.65412847e-32,1.28979561e-32,2.18665369e-81,1.18270792e-30,5.51223715e-71,1.46338227e-30,9.38254217e-45,1.3889667e-30,2.28378326e-33,7.95548801e-59,0.0,2.08639711e-30,2.07084996e-35,9.05529981e-36,5.45702989e-33
2,0.0092,-42000.0,201.37982,12.1299172,298.0,100000.0,0.649046641,1.49520978e-25,2.01346025e-25,0.195431437,4.01932734e-51,2.07830558e-34,1.22063757e-37,6.41119245e-30,0.0,3.4589251e-96,5.50662311e-61,2.203625e-66,9.24188126e-30,0.155521922,8.98492695e-26,1.80064644e-55,3.5114187e-64,1.32391346e-28,3.6688799e-29,1.7672551e-74,3.36433115e-27,4.0956376e-64,4.16273743e-27,9.37835108e-41,3.95105489e-27,6.49645023e-30,1.98022841e-53,0.0,5.93496557e-27,5.89074015e-32,2.57587071e-32,1.55230681e-29
3,0.0138,-42000.0,201.37982,10.2772228,298.0,100000.0,0.649046641,3.6888152e-22,4.96738511e-22,0.195431437,3.50692741e-47,5.17784663e-31,3.04109871e-34,1.58169807e-26,1.75794663e-95,3.32139966e-87,2.33216861e-54,1.40879503e-59,2.28005311e-26,0.155521922,2.21666121e-22,2.31444383e-50,1.98536936e-57,3.26621198e-25,9.05145206e-26,1.07731748e-67,8.3001035e-24,2.32542176e-57,1.02698426e-23,9.02070027e-37,9.74760302e-24,1.60273192e-26,4.92158519e-48,0.0,1.46420867e-23,1.45329787e-28,6.35490155e-29,3.82967865e-26
4,0.0184,-42000.0,201.37982,8.42452847,298.0,100000.0,0.649046641,7.7113373e-19,1.03841423e-18,0.195431437,2.92789314e-43,1.09498801e-27,6.43252656e-31,3.3064837e-23,2.28018248e-87,3.18912623e-78,7.80484065e-48,6.21107655e-53,4.76636776e-23,0.155521922,4.63385162e-19,5.70244644e-45,8.21145956e-51,6.82790027e-22,1.89217386e-22,4.73150893e-61,1.73510719e-20,9.6117697e-51,2.14687417e-20,8.33695592e-33,2.03770183e-20,3.35045422e-23,1.22126458e-42,0.0,3.06087628e-20,3.03806766e-25,1.32846961e-25,8.00580735e-23
5,0.0229999993,-42000.0,201.37982,6.57183439,298.0,100000.0,0.649046641,1.32160561e-15,1.77968363e-15,0.195431437,2.36109593e-39,1.90324213e-24,1.12427473e-27,5.6668088e-20,2.95755049e-79,3.06066701e-69,1.896072e-41,1.85730301e-46,8.16882244e-20,0.155521922,7.94171498e-16,1.44662081e-39,2.33121562e-44,1.17019798e-18,3.24289679e-19,1.4121246e-54,2.97370911e-17,2.70532056e-44,3.67941491e-17,7.39105591e-29,3.49231017e-17,5.74216756e-20,3.02268298e-37,0.0,5.24587514e-17,5.20678467e-22,2.27679427e-22,1.37207329e-19
6,0.0275997732,-42000.0,201.37982,4.71923113,298.0,100000.0,0.649046641,1.76717826e-12,2.37969497e-12,0.195431437,5.87269415e-35,2.59114398e-21,1.81441079e-24,7.57734473e-17,3.835849e-71,2.93164596e-60,2.98686285e-35,4.03458185e-40,1.09228909e-16,0.155521922,1.0619224e-12,4.12455848e-34,4.31275769e-38,1.56472431e-15,4.3362179e-16,3.13317441e-48,3.97628009e-14,4.73102115e-38,4.91991103e-14,6.27365984e-25,4.66972488e-14,7.67811031e-17,7.37621858e-32,0.0,7.01449541e-14,6.96222585e-19,3.04440389e-19,1.83466085e-16
7,0.0321713916,-42000.0,201.379829,2.87796821,298.000036,100000.0,0.649046643,1.68207538e-09,2.26509482e-09,0.195431434,3.49252236e-29,2.52873145e-18,1.4451785e-20,7.21243878e-14,4.92925409e-63,2.77107003e-51,2.52930576e-29,3.0895331e-33,1.0396859e-13,0.155521919,1.01078288e-09,1.40749305e-28,8.2180322e-32,1.4893711e-12,4.12735786e-13,2.47182915e-41,3.7847924e-11,5.14579082e-32,4.68298044e-11,5.04207474e-21,4.44484263e-11,7.30835175e-14,1.62209958e-26,0.0,6.67669488e-11,6.62694257e-16,2.89779295e-16,1.74630818e-13
8,0.0361257446,-42000.0,201.384281,1.28544101,298.016821,100000.0,0.649047177,7.91186041e-07,1.06541682e-06,0.195429808,1.26314052e-23,1.23837368e-15,4.18131682e-16,3.39246359e-11,5.09335443e-55,2.02223565e-42,6.50392855e-24,4.11688131e-26,4.89025538e-11,0.155520578,4.75434879e-07,4.81088674e-23,3.99166434e-25,7.00545077e-10,1.94113521e-10,3.13570276e-34,1.78022635e-08,1.00620975e-25,2.20270078e-08,3.09784304e-17,2.09068956e-08,3.43757834e-11,1.81913246e-21,0.0,3.14047031e-08,3.1170704e-13,1.36301453e-13,8.21398776e-11
9,0.0379616699,-42000.0,201.708974,0.550338109,299.303695,100000.0,0.649088192,6.13347497e-05,8.25938108e-05,0.195305184,1.37807182e-18,1.03805219e-13,1.64614441e-12,2.62934152e-09,1.65644283e-47,2.54443586e-34,2.84533405e-19,1.26179971e-20,3.79173569e-09,0.155417777,3.68569183e-05,7.6616059e-18,1.13340085e-19,5.43080319e-08,1.50172115e-08,1.06853696e-28,1.38007665e-06,2.75419894e-20,1.70758949e-06,4.96804407e-14,1.62075354e-06,2.66489796e-09,1.28381087e-17,0.0,2.43457228e-06,2.41760223e-11,1.05661824e-11,6.36769177e-09
