,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-10100.0,98.753385,7.90799726,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-10100.0,98.753385,6.99946611,298.0,100000.0,0.649046641,2.76179028e-26,3.88580753e-26,0.195431437,4.30422359e-54,7.52372835e-36,4.41906567e-39,1.99840101e-30,0.0,0.0,2.45678738e-63,-2.35367117e-68,7.99325438e-31,0.155521922,1.83665917e-26,1.68535531e-56,2.52755296e-66,2.79853281e-29,6.33056438e-30,1.81959781e-76,9.75599864e-28,6.54573965e-66,9.0634295e-28,8.00236421e-44,7.09808404e-28,1.44606968e-30,1.95646782e-57,0.0,1.27209282e-27,4.72209928e-33,7.11779621e-33,2.03711354e-30
2,0.0092,-10100.0,98.753385,6.09093497,298.0,100000.0,0.649046641,3.93543804e-23,5.53711658e-23,0.195431437,3.30669129e-50,1.0903702e-32,6.4042871e-36,2.84763959e-27,0.0,3.95081138e-94,4.61732909e-57,1.47925813e-62,1.13900534e-27,0.155521922,2.61716409e-23,2.62658123e-53,5.08661749e-60,3.98779463e-26,9.02079424e-27,3.74877744e-70,1.39018985e-24,1.30427501e-59,1.29150158e-24,6.86274111e-40,1.0114479e-24,2.06059007e-27,4.84114946e-52,0.0,1.81268017e-24,6.72879812e-30,1.0142568e-29,2.90280336e-27
3,0.0138,-10100.0,98.753385,5.18240383,298.0,100000.0,0.649046641,4.87753936e-20,6.86264243e-20,0.195431437,2.47927021e-46,1.37788616e-29,8.09303701e-33,3.52933373e-24,1.01276723e-93,3.69482797e-85,6.69576574e-51,2.32042988e-56,1.4116704e-24,0.155521922,3.24368488e-20,5.99131371e-49,7.78697834e-54,4.94242956e-23,1.11802749e-23,5.8594588e-64,1.72298627e-21,1.97181726e-53,1.6006731e-21,5.75855853e-36,1.2535776e-21,2.55387306e-24,1.1952189e-46,0.0,2.2466162e-21,8.33959972e-27,1.25705891e-26,3.5977031e-24
4,0.0184,-10100.0,98.753385,4.27387269,298.0,100000.0,0.649046641,5.14437894e-17,7.23808269e-17,0.195431437,1.81876255e-42,1.4867488e-26,8.73413393e-30,3.72241591e-21,1.31362103e-85,3.36666677e-76,7.16196926e-45,2.63873861e-50,1.48889919e-21,0.155521922,3.42113983e-17,1.50354967e-43,8.68546228e-48,5.21281914e-20,1.17919233e-20,6.65849318e-58,1.8172471e-18,2.16476423e-47,1.68824245e-18,4.72568386e-32,1.3221581e-18,2.6935899e-21,2.92170093e-41,0.0,2.36952369e-18,8.79584118e-24,1.32582986e-23,3.79452562e-21
5,0.0229999996,-10100.0,98.753385,3.36534163,298.0,100000.0,0.649046641,4.47578285e-14,6.29737559e-14,0.195431437,1.70959791e-38,1.32965154e-23,7.88801073e-27,3.23862715e-18,1.70384413e-77,3.02356884e-67,5.30838369e-39,2.07246331e-44,1.29539174e-18,0.155521922,2.97650682e-14,4.28701902e-38,6.65492778e-42,4.53532813e-17,1.02593699e-17,5.23257148e-52,1.58106615e-15,1.62186808e-41,1.46882776e-15,3.79079389e-28,1.15032206e-15,2.34351389e-18,6.85093601e-36,0.0,2.06156538e-15,7.65267801e-21,1.1535166e-20,3.30136502e-18
6,0.0275998828,-10100.0,98.7533851,2.45683357,298.000001,100000.0,0.649046641,3.06745467e-11,4.31587385e-11,0.195431437,2.03356545e-33,9.43584701e-21,9.02438158e-24,2.21957639e-15,2.20989945e-69,2.76318812e-58,2.48988262e-33,1.63598296e-38,8.87789429e-16,0.155521922,2.03993358e-11,1.18475132e-32,3.48075935e-36,3.10826372e-14,7.03120332e-15,4.25297215e-46,1.08357553e-12,7.62365988e-36,1.00665352e-12,2.97069403e-24,7.88367284e-13,1.60611514e-15,1.40730376e-30,0.0,1.41288319e-12,5.24472345e-18,7.90556639e-18,2.26257347e-15
7,0.0321842832,-10100.0,98.7534241,1.55138582,298.000333,100000.0,0.649046651,1.52820979e-08,2.1501738e-08,0.195431404,5.72300245e-28,4.92914753e-18,1.49183911e-19,1.10579576e-12,2.85176078e-61,2.56502759e-49,6.36784604e-28,1.34102849e-31,4.4229726e-13,0.155521895,1.01629748e-08,2.54002436e-27,4.71445264e-30,1.54854091e-11,3.50293474e-12,3.49877905e-39,5.39838694e-10,2.78400991e-30,5.01516055e-10,2.25982385e-20,3.92765576e-10,8.00168592e-13,2.08228126e-25,0.0,7.03900187e-10,2.61292792e-15,3.93856309e-15,1.12721696e-12
8,0.0363321124,-10100.0,98.7649728,0.732536077,298.090763,100000.0,0.649049363,4.15936271e-06,5.85217605e-06,0.195422466,2.83154916e-22,1.44419176e-15,3.88015926e-15,3.00966254e-10,3.16532178e-53,1.83516328e-40,6.93440661e-23,9.39697731e-25,1.20378058e-10,0.155514741,2.76607956e-06,1.42746159e-21,2.09824653e-23,4.21469837e-09,9.53292589e-10,2.40928388e-32,1.46929103e-07,5.26581402e-24,1.36498745e-07,1.40447077e-16,1.06899883e-07,2.17783673e-10,1.32254817e-20,0.0,1.91582086e-07,7.11172289e-13,1.07196736e-12,3.06797158e-10
9,0.0385454425,-10100.0,99.3736514,0.304870327,303.067188,100000.0,0.649198703,0.00023242712,0.000327022255,0.194930112,3.15719984e-17,9.42138767e-14,9.07586024e-12,1.67996487e-08,1.35604694e-45,2.70679976e-32,2.61843937e-18,1.25573057e-19,6.73644135e-09,0.15512069,0.00015456981,1.63597621e-16,2.65653156e-18,2.35519299e-07,5.31610433e-08,4.89853954e-27,8.21046652e-06,7.30435001e-19,7.62761292e-06,2.24655747e-13,5.97359869e-06,1.21698528e-08,1.06130771e-16,0.0,1.07056959e-05,3.99074465e-11,5.98983253e-11,1.71439679e-08
