,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-378000.0,604.139461,47.5059176,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-378000.0,604.139461,41.9478345,298.0,100000.0,0.649046641,1.16282265e-32,1.61883246e-32,0.195431437,2.99097406e-55,1.00203796e-40,5.88533107e-44,5.01028679e-37,0.0,0.0,1.30345225e-70,-2.28323554e-76,1.77606058e-36,0.155521922,7.04495205e-33,4.08663772e-61,1.09347469e-75,1.28440645e-35,4.29845894e-36,3.51692684e-88,9.8318884e-35,1.47128378e-76,2.62689412e-34,7.78299019e-45,3.94394321e-34,2.51123991e-37,8.56432896e-59,0.0,3.71666659e-34,6.96927894e-39,1.08801816e-39,3.92471355e-36
2,0.0092,-378000.0,604.139461,36.3897515,298.0,100000.0,0.649046641,9.91864521e-29,1.38083179e-28,0.195431437,4.42283545e-51,8.5715162e-37,5.0354566e-40,4.27367467e-33,2.07834908e-99,7.23914463e-94,8.09381131e-64,3.5286307e-71,1.48174734e-32,0.155521922,6.00920354e-29,1.01648706e-55,2.52004914e-68,1.09557307e-31,3.59361473e-32,2.32559448e-80,8.38640464e-31,3.87668045e-69,2.24068827e-30,1.22042994e-40,3.36410487e-30,2.14203754e-33,2.18046724e-53,0.0,3.17024244e-30,5.9446559e-35,9.28057773e-36,3.34770235e-32
3,0.0138,-378000.0,604.139461,30.8316685,298.0,100000.0,0.649046641,7.33880612e-25,1.02167752e-24,0.195431437,6.04019635e-47,6.36288144e-33,3.74372209e-36,3.16209211e-29,2.6958777e-91,6.95140411e-85,5.02313046e-57,1.00189536e-63,1.09633835e-28,0.155521922,4.44621002e-25,2.57443298e-50,5.67153504e-61,8.10614575e-28,2.65889239e-28,1.18686649e-72,6.20510124e-27,9.72708008e-62,1.65788537e-26,1.77576572e-36,2.48910137e-26,1.58489369e-29,5.52680336e-48,0.0,2.34566255e-26,4.39845122e-31,6.86669989e-32,2.47696515e-28
4,0.0184,-378000.0,604.139461,25.2735854,298.0,100000.0,0.649046641,4.60076223e-21,6.40498639e-21,0.195431437,7.5665261e-43,4.00439908e-29,2.38565047e-32,1.98234341e-25,3.4968588e-83,6.67509282e-76,3.10825322e-50,3.51511409e-56,6.8730388e-25,0.155521922,2.78736825e-21,6.49614751e-45,1.21190133e-53,5.08181421e-24,1.66686978e-24,4.57207435e-65,3.89003265e-23,2.21120138e-54,1.03934295e-22,2.38315529e-32,1.56043959e-22,9.93583823e-26,1.39462712e-42,0.0,1.47051653e-22,2.75742784e-27,4.30479463e-28,1.55283128e-24
5,0.0229999999,-378000.0,604.139461,19.7155025,298.0,100000.0,0.649046641,2.36441589e-17,3.29163969e-17,0.195431437,8.62464428e-39,2.06765902e-25,1.38047982e-28,1.01876255e-21,4.53578237e-75,6.40975687e-67,1.89073529e-43,1.03999759e-48,3.53217855e-21,0.155521922,1.43247954e-17,1.63198099e-39,2.39160901e-46,2.6116373e-20,8.5661823e-21,1.4679532e-57,1.99915895e-19,4.32390895e-47,5.34137359e-19,2.92902952e-28,8.01938453e-19,5.10620905e-22,3.50342684e-37,0.0,7.55725348e-19,1.41709262e-23,2.21231269e-24,7.98028407e-21
6,0.0275999321,-378000.0,604.139461,14.1575013,298.0,100000.0,0.649046641,9.47942022e-14,1.31968475e-13,0.195431437,9.33372412e-35,8.33987711e-22,1.2869271e-24,4.08442456e-18,5.88319101e-67,6.15482484e-58,1.07160924e-36,4.12453904e-41,1.41612062e-17,0.155521922,5.74309942e-14,4.09382121e-34,4.41473096e-39,1.04705807e-16,3.43416552e-17,6.65781393e-50,8.0150315e-16,7.29186455e-40,2.14146441e-15,3.26892302e-24,3.21513302e-15,2.04718221e-18,8.7609792e-32,0.0,3.02985536e-15,5.68141017e-20,8.86960768e-21,3.19945685e-17
7,0.0321854526,-378000.0,604.139466,8.6169138,298.000006,100000.0,0.649046642,2.7166904e-10,3.78206135e-10,0.195431436,1.96505107e-29,2.41027022e-18,3.85877157e-20,1.17054806e-14,7.59491735e-59,5.88223189e-49,4.97917273e-30,3.43208153e-33,4.05842833e-14,0.155521921,1.64590478e-10,1.13086038e-28,8.14818875e-32,3.00074535e-13,9.83997539e-14,4.94487191e-42,2.2970138e-12,1.21833406e-32,6.13718523e-12,3.26352675e-20,9.21419326e-12,5.86698354e-15,2.16814056e-26,0.0,8.68320927e-12,1.62822537e-16,2.54192523e-17,9.16926721e-14
8,0.0363683016,-378000.0,604.147088,3.56306346,298.009095,100000.0,0.649046985,4.14116123e-07,5.76514932e-07,0.195430586,4.54269512e-23,3.72480706e-15,1.47118054e-15,1.78431378e-11,8.53740627e-51,4.89458096e-40,1.46286342e-23,1.85301171e-25,6.18629279e-11,0.15552114,2.50891933e-07,1.20043736e-22,1.22505431e-24,4.57415769e-10,1.49841153e-10,2.27603398e-34,3.5014312e-09,1.84694231e-25,9.35515988e-09,2.5200215e-16,1.40455681e-08,8.9432807e-12,4.46952286e-21,0.0,1.32361677e-08,2.48197002e-13,3.87475943e-14,1.39770855e-10
9,0.0385488865,-378000.0,606.175914,0.947645977,300.379209,100000.0,0.649136541,0.000108375222,0.000150875372,0.195208676,2.85059758e-17,1.00510416e-12,1.76983856e-11,4.66914128e-09,3.61918554e-43,1.51208669e-31,1.17902398e-17,5.81594149e-19,1.61787045e-08,0.155317343,6.56590443e-05,2.05432212e-16,2.68773122e-18,1.19706844e-07,3.88197759e-08,8.40493686e-28,9.16333272e-07,4.33490531e-19,2.44826809e-06,6.47843636e-13,3.67575588e-06,2.34047885e-09,1.93569071e-16,0.0,3.46393807e-06,6.49635473e-11,1.01401399e-11,3.65783812e-08
