,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-213000.0,453.503983,35.6294382,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-213000.0,453.503983,31.4572015,298.0,100000.0,0.649046641,2.06615063e-31,2.79421766e-31,0.195431437,1.02200765e-54,9.83587741e-40,5.77680939e-43,8.04357271e-36,0.0,0.0,1.08043562e-69,1.11006209e-73,2.32427707e-35,0.155521922,1.21512938e-31,1.29581136e-60,1.92300256e-74,2.00206047e-34,6.32573357e-35,7.60489195e-86,2.56987544e-33,6.80620426e-75,5.03445613e-33,2.60620318e-44,6.4514801e-33,6.07572767e-36,2.46969759e-58,0.0,7.17302464e-33,1.14228326e-37,2.42626204e-38,4.55866121e-35
2,0.0092,-213000.0,453.503983,27.2849649,298.0,100000.0,0.649046641,1.32173792e-27,1.78748992e-27,0.195431437,1.29330749e-50,6.31599673e-36,3.70978502e-39,5.14555662e-32,2.13725429e-99,3.46460556e-93,6.68575354e-63,2.00446776e-69,1.48354398e-31,0.155521922,7.77330827e-28,2.91361987e-55,4.05627619e-67,1.28073878e-30,4.03934707e-31,2.96421143e-78,1.64397589e-29,1.57361746e-67,3.22059363e-29,3.53089354e-40,4.12707852e-29,3.8867058e-32,6.23514741e-53,0.0,4.58865802e-29,7.30730414e-34,1.5521049e-34,2.9162227e-31
3,0.0138,-213000.0,453.503983,23.1127283,298.0,100000.0,0.649046641,7.3330545e-24,9.91706513e-24,0.195431437,1.52687141e-46,3.51947917e-32,2.0685881e-35,2.85477526e-28,2.77224554e-91,3.32688849e-84,4.12935952e-56,3.63535598e-62,8.23075187e-28,0.155521922,4.31266232e-24,7.30829414e-50,7.71078492e-60,7.10558964e-27,2.2410416e-27,8.79058546e-71,9.12084357e-26,3.16006563e-60,1.78679815e-25,4.48403368e-36,2.28971956e-25,2.15635983e-28,1.56887414e-47,0.0,2.5458057e-25,4.05412139e-30,8.61113958e-31,1.61793195e-27
4,0.0184,-213000.0,453.503983,18.9404916,298.0,100000.0,0.649046641,3.44643553e-20,4.66088526e-20,0.195431437,1.67311424e-42,1.66265475e-28,9.84042359e-32,1.34170541e-24,3.59587304e-83,3.19464281e-75,2.50031535e-49,7.88871602e-55,3.86833943e-24,0.155521922,2.02689243e-20,1.8325819e-44,1.25896353e-52,3.33953015e-23,1.05325561e-23,1.91600037e-63,4.28667199e-22,5.16623834e-53,8.39770742e-22,5.31415095e-32,1.07613694e-21,1.01345969e-24,3.93425957e-42,0.0,1.19649393e-21,1.90538172e-26,4.04711803e-27,7.60405932e-24
5,0.0229999999,-213000.0,453.503983,14.768255,298.0,100000.0,0.649046641,1.32746173e-16,1.79523068e-16,0.195431437,1.69198931e-38,6.44441933e-25,4.14563136e-28,5.16783954e-21,4.66416768e-75,3.06765119e-66,1.41326889e-42,1.28246423e-47,1.48996546e-20,0.155521922,7.80697072e-17,4.58138333e-39,1.73956615e-45,1.28628504e-19,4.05678217e-20,3.2386284e-56,1.65109515e-18,6.49589282e-46,3.23454047e-18,5.84722508e-28,4.1449509e-18,3.90353725e-21,9.83253702e-37,0.0,4.60852928e-18,7.3389486e-23,1.55882626e-23,2.92885145e-20
6,0.0275999504,-213000.0,453.503983,10.5960633,298.0,100000.0,0.649046641,3.98701749e-13,5.39195667e-13,0.195431437,1.78679913e-34,1.95122639e-21,2.84067112e-24,1.55215523e-17,6.04970373e-67,2.94565729e-57,6.70556688e-36,2.77809721e-40,4.47509269e-17,0.155521922,2.34481553e-13,1.15240521e-33,2.25879517e-38,3.86334374e-16,1.21841308e-16,7.99878942e-49,4.95904712e-15,6.44221006e-39,9.71490865e-15,5.93774812e-24,1.24493169e-14,1.17242335e-17,2.44867896e-31,0.0,1.38416697e-14,2.20424559e-19,4.68191839e-20,8.79677488e-17
7,0.0321876741,-213000.0,453.503993,6.43496195,298.000018,100000.0,0.649046642,8.55936564e-10,1.15755019e-09,0.195431435,7.09440734e-29,4.23611335e-18,8.03462265e-20,3.33218105e-14,7.81547561e-59,2.81722362e-48,2.27311575e-29,1.65529197e-32,9.60715451e-14,0.15552192,5.03387145e-10,3.44475916e-28,3.43525764e-31,8.2938617e-13,2.61535698e-13,4.45175214e-41,1.06461278e-11,6.96078383e-32,2.08560548e-11,5.50405707e-20,2.67263075e-11,2.51696918e-14,6.02642887e-26,0.0,2.97154233e-11,4.73209462e-16,1.0051185e-16,1.88849968e-13
8,0.0363903503,-213000.0,453.517218,2.62344251,298.021043,100000.0,0.649047378,9.81242302e-07,1.32701097e-06,0.195429441,1.3831979e-22,4.94608598e-15,3.05339569e-15,3.81999885e-11,8.84898377e-51,2.36092586e-39,4.50649556e-23,6.81231843e-25,1.10133281e-10,0.155520178,5.77081038e-07,4.23581617e-22,4.65132918e-24,9.50805033e-10,2.99571333e-10,1.62060863e-33,1.22046789e-08,8.76593799e-25,2.39092986e-08,4.06634294e-16,3.06389335e-08,2.88544355e-11,1.18915371e-20,0.0,3.40656441e-08,5.42485552e-13,1.15226382e-13,2.16496859e-10
9,0.0385172952,-213000.0,455.980188,0.717904371,301.912706,100000.0,0.649183702,0.000182574476,0.000246909747,0.195060121,7.67361258e-17,9.60259125e-13,2.99253893e-11,7.10591601e-09,3.63192166e-43,7.0235292e-31,2.50977687e-17,1.25291035e-18,2.04793653e-08,0.155197578,0.000107374364,4.90166486e-16,6.69054225e-18,1.76911172e-07,5.51648287e-08,4.03519912e-27,2.27085893e-06,1.37212933e-18,4.44867367e-06,9.66333888e-13,5.70080833e-06,5.36878956e-09,3.7982131e-16,0.0,6.33841112e-06,1.00978239e-10,2.14386997e-11,4.02824059e-08
