,r(mm),J,G,v(m/s),T(K),p,N2,CO2,H2O,O2,H,O,OH,H2O2,C,CH,CH2,CH2(,CH3,CH4,CO,HCO,CH2O,CH3O,HO2,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2C,AR,H2,C3H7,C3H8,CH3C
0,0.0,-94500.0,302.069731,23.7433031,298.0,100000.0,0.649046641,0.0,0.0,0.195431437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.155521922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0046,-94500.0,302.069731,20.9642616,298.0,100000.0,0.649046641,1.38506402e-29,1.85303714e-29,0.195431437,7.31368519e-54,2.71306722e-38,1.59343981e-41,5.91652172e-34,0.0,0.0,7.4572486e-68,1.66931847e-74,9.64126839e-34,0.155521922,8.12342855e-30,1.72820432e-59,8.0362483e-72,1.2384404e-32,3.56349545e-33,1.73908309e-82,2.39075283e-31,6.36575384e-72,3.60599836e-31,1.95629013e-43,3.91754767e-31,5.1414974e-34,1.85909532e-57,0.0,5.15438371e-31,5.58335214e-36,2.00993478e-36,1.98574606e-33
2,0.0092,-94500.0,302.069731,18.1852201,298.0,100000.0,0.649046641,5.90582613e-26,7.90123415e-26,0.195431437,7.69502904e-50,1.16342294e-34,6.83317158e-38,2.52276776e-30,6.41920021e-98,8.1986476e-92,4.51887911e-61,5.8703496e-67,4.11064318e-30,0.155521922,3.46377899e-26,2.20455321e-54,1.13035829e-64,5.28063221e-29,1.51937907e-29,3.10989746e-75,1.01940201e-27,9.29261565e-65,1.53757509e-27,2.23307979e-39,1.67041776e-27,2.19230225e-30,4.65392654e-52,0.0,2.19779689e-27,2.38070634e-32,8.57023581e-33,8.46709668e-30
3,0.0138,-94500.0,302.069731,15.4061786,298.0,100000.0,0.649046641,2.18403578e-22,2.92195836e-22,0.195431437,7.66124301e-46,4.3307156e-31,2.54430687e-34,9.32945691e-27,8.32626488e-90,7.87273855e-83,2.6053954e-54,7.94937673e-60,1.5201579e-26,0.155521922,1.28094141e-22,5.41581355e-49,1.27769397e-57,1.95283258e-25,5.61881963e-26,4.20376849e-68,3.76985441e-24,1.07164673e-57,5.68611219e-24,2.42279779e-35,6.17737819e-24,8.10736117e-27,1.16240135e-46,0.0,8.12768092e-24,8.80409908e-29,3.16936209e-29,3.1312202e-26
4,0.0184,-94500.0,302.069731,12.627137,298.0,100000.0,0.649046641,6.84292819e-19,9.15495592e-19,0.195431437,7.19483006e-42,1.36740002e-27,8.06847162e-31,2.92306584e-23,1.07998477e-81,7.55978043e-74,1.34329324e-47,7.83766438e-53,4.76289223e-23,0.155521922,4.01339124e-19,1.34944919e-43,1.11143262e-50,6.11853215e-22,1.76046303e-22,4.12683956e-61,1.18115478e-20,9.25773377e-51,1.78154854e-20,2.49176246e-31,1.93546991e-20,2.54016399e-23,2.89673449e-41,0.0,2.54653049e-20,2.75846296e-25,9.93011069e-26,9.81060622e-23
5,0.023,-94500.0,302.069731,9.84809552,298.0,100000.0,0.649046641,1.75741371e-15,2.35119302e-15,0.195431437,6.36197752e-38,3.54499539e-24,2.25646009e-27,7.50707274e-20,1.40082263e-73,7.25925842e-65,5.63130818e-41,5.64980346e-46,1.22321433e-19,0.155521922,1.0307267e-15,3.36423841e-38,7.4461551e-44,1.57137295e-18,4.52123847e-19,3.04274356e-54,3.03346396e-17,5.66465925e-44,4.5754065e-17,2.42192376e-27,4.97071028e-17,6.523697e-20,7.20202764e-36,0.0,6.54004756e-17,7.08433656e-22,2.5502697e-22,2.51957837e-19
6,0.027599988,-94500.0,302.069731,7.06906125,298.0,100000.0,0.649046641,3.52059951e-12,4.71010837e-12,0.195431437,8.64322758e-34,7.18774207e-21,1.22409979e-23,1.50388019e-16,1.81695878e-65,6.97064772e-56,1.69410693e-34,6.3980556e-39,2.45044453e-16,0.155521922,2.06483875e-12,8.68832882e-33,4.99705209e-37,3.14790696e-15,9.05718688e-16,3.85141874e-47,6.07689112e-14,2.51858909e-37,9.16584061e-14,2.21721384e-23,9.95774651e-14,1.30688206e-16,1.78426686e-30,0.0,1.31015754e-13,1.41919412e-18,5.1089155e-19,5.04743211e-16
7,0.0321949699,-94500.0,302.069771,4.29305349,298.000107,100000.0,0.649046645,5.05572375e-09,6.76390673e-09,0.195431427,7.31556525e-28,1.04962038e-17,3.69489821e-19,2.15963298e-13,2.35285527e-57,6.68251011e-47,3.19024557e-28,2.73119443e-31,3.51893138e-13,0.155521913,2.96519222e-09,3.02932401e-27,5.9042492e-30,4.52052212e-12,1.3005335e-12,1.56938332e-39,8.72666221e-11,1.49013311e-30,1.3162519e-10,1.90143698e-19,1.4299728e-10,1.87673567e-13,4.31348457e-25,0.0,1.88143939e-10,2.03802036e-15,7.3366098e-16,7.24831731e-13
8,0.0365049028,-94500.0,302.105422,1.69016763,298.085141,100000.0,0.64904946,4.01249934e-06,5.36820692e-06,0.195423273,1.35655571e-21,8.56162824e-15,1.426021e-14,1.7140021e-10,2.76732424e-49,5.81513104e-38,3.74894839e-22,8.03148544e-24,2.79269286e-10,0.155515035,2.35333899e-06,5.58741858e-21,7.11606751e-23,3.587734e-09,1.03137112e-09,4.25842734e-32,6.92595721e-08,1.58100533e-23,1.0446496e-07,1.38263746e-15,1.13490475e-07,1.48948024e-10,7.83897386e-20,0.0,1.49321337e-07,1.61748649e-12,5.82273487e-13,5.75266171e-10
9,0.0385655924,-94500.0,306.041729,0.482996882,307.655855,100000.0,0.649366895,0.000455844869,0.000609861474,0.194503979,5.47325707e-16,1.04726779e-12,8.31653147e-11,1.9452073e-08,1.09885385e-41,1.65096218e-29,1.07672737e-16,5.52355802e-18,3.17390493e-08,0.154739593,0.000267353939,2.99519258e-15,4.20658069e-17,4.07588864e-07,1.15673471e-07,6.40253637e-26,7.86831795e-06,1.13900209e-17,1.1867866e-05,2.90407184e-12,1.28931415e-05,1.69214215e-08,1.86605156e-15,0.0,1.69638322e-05,1.84152297e-10,6.61414301e-11,6.53538146e-08
